AUDIT TEAM B,0,2025-11-03 12:29:10
TG CASH TEAM 8,6525,2025-11-03 14:21:22
TG CASH TEAM 1,3975,2025-11-03 14:30:36
FLM TEAM,1950,2025-11-03 14:48:24
PAKISTANI TEAM,2775,2025-11-03 15:00:21
DUBAI CULTURE AND ARTS AUTYORITY,4350,2025-11-03 15:10:47
TG15,1200,2025-11-03 15:15:49
MANANDAVADI RAMESH BABU,5525,2025-11-03 15:21:06
STRONG LADIES,3050,2025-11-03 15:28:44
TG KINGS,2150,2025-11-03 15:44:12
TSD RIVALS 2,6075,2025-11-03 15:50:28
DP-D18-CFO HOMELAND SHIELD1,1775,2025-11-03 15:55:16
VOSTOK TEAM 49,975,2025-11-03 15:59:50
THE GOVERNMENT OF DUBAI LEGAL AFFAIRS DEPARTMENT,4750,2025-11-03 16:07:08
VOSTOK TEAM 9,775,2025-11-03 16:11:24
TG CASH TEAM 10,5600,2025-11-03 16:15:02
TG CASH WARRIOR,4575,2025-11-03 16:19:26
ALL SPORTS DXB,8050,2025-11-03 16:25:25
TSD-2,6425,2025-11-03 16:32:37
TG MAVERICKS,4175,2025-11-03 16:37:35
TDS-3,3000,2025-11-03 16:41:51
GOLDEN STARS,5900,2025-11-03 16:46:09
LEGAL AFFAIRS DEPARTMENT,9475,2025-11-03 16:52:51
DUBAICULTURE2,4025,2025-11-03 16:59:07
NIKI BATCH,1450,2025-11-03 17:04:23
TSD1,3225,2025-11-03 17:08:06
TRANSGUARD1,525,2025-11-03 17:15:32
DIGITAL DUBAI TEAM,3675,2025-11-03 17:21:14
DIGITAL DUBAI WOMAN 2,10225,2025-11-03 17:26:52
LAD,0,2025-11-03 17:33:18
LAD,7500,2025-11-03 17:40:27
DUBAI HEALTH AUTHORITY,3975,2025-11-03 17:44:34
VS LADIES ,1675,2025-11-03 17:48:38
TSD RIVALS 2,4225,2025-11-03 17:52:26
DIGITAL DUBAILEDES,7400,2025-11-03 17:56:10
VOSTOK TEAM 1,425,2025-11-03 18:00:27
TSD4,2325,2025-11-03 18:04:16
INNOVO,450,2025-11-03 18:11:38
TRANS GUARD CASH TEAM 2,3200,2025-11-03 18:17:56
AJGY,250,2025-11-03 18:34:37
GO RUN,2575,2025-11-03 18:49:17
DAZZLJNG GALS,3125,2025-11-03 18:59:37
TRANSGARD CASH ADMIN,4150,2025-11-03 19:03:32
VOSTOK TEAM 5,3250,2025-11-03 19:07:18
VOSTOK TEAM 51,175,2025-11-03 19:13:25
DUBAI CUSTOMS MEN -A,9150,2025-11-03 19:17:21
VOSTOK TEAM 6,3375,2025-11-03 19:24:15
TRANSGURD RISERS,5350,2025-11-03 19:27:59
CIVIL DEFENSE A,3350,2025-11-03 19:40:56
COFFEE,4375,2025-11-03 19:45:40
TG CASH SECURITY,50,2025-11-03 19:49:26
NAEEM BAIG PAKISTAN,3450,2025-11-03 19:53:45
ZAMAN RASHEED,4450,2025-11-03 19:58:27
SIRA PORTAL TEAM,5825,2025-11-03 20:03:16
WINNERS1,3650,2025-11-03 20:07:37
SIRA PORTAL TEAM 1,9100,2025-11-03 20:12:29
GOOD GIRLS,6325,2025-11-03 20:24:30
VOSTOK TEAM 13,4100,2025-11-03 20:48:25
VOSTOK TEAM 19,5650,2025-11-03 20:55:41
SHEIKH HASSAN,16200,2025-11-03 20:59:36
EMAAR FIRE SAFETY,4600,2025-11-03 21:04:14
TRANSGUARD RISERS 2,11150,2025-11-03 21:08:53
BDUL RAZAQ,6275,2025-11-03 21:12:30
MANIC RUN CLUB DEUX,18250,2025-11-03 21:16:29
CIVIL DEFENSE B,5975,2025-11-03 21:20:11
TSD6,6075,2025-11-03 21:23:47
HARSHU,7625,2025-11-03 21:27:52
VOSTOK TEAM 28,8200,2025-11-03 21:31:28
DRAGON BOYS,2650,2025-11-03 21:35:48
VOSTOK TEAM 10,2200,2025-11-03 21:39:28
TG TIGERS,3375,2025-11-03 21:43:31
VOSTOK TEAM 25,7400,2025-11-03 21:47:22
VOSTOK TEAM 32,1500,2025-11-03 21:51:01
COSMO,2825,2025-11-03 21:55:18
VOSTOK TEAM 26,11200,2025-11-03 22:00:18
TRANSGUARD NOTCH,7725,2025-11-03 22:04:27
PRK,12700,2025-11-03 22:08:10
VOSTOK TEAM 52,8200,2025-11-03 22:16:24
VOSTOK TEAM 16,8100,2025-11-03 22:21:02
SIRA,6550,2025-11-03 22:25:45
BASRAH GROUP,11750,2025-11-03 22:30:08
TRANSGUARD CASH ADMIN 2,10500,2025-11-03 22:34:29
GULF DONS,10500,2025-11-03 22:39:24
DUBAI MUNICIPALITY LADIES TEAM,15925,2025-11-03 22:43:50
TN RACKERS,7625,2025-11-03 22:49:00
THAZIM,9850,2025-11-03 23:00:10
EL HAREEFA,9900,2025-11-03 23:04:21
EJADAH FINANCE 01,3100,2025-11-03 23:09:06
DUBAI121,2350,2025-11-03 23:15:20
AMAN25,4825,2025-11-03 23:19:43
MKV,11800,2025-11-03 23:29:16
TVK,4600,2025-11-03 23:36:31
VIJI TEAM,9725,2025-11-03 23:40:31
MONDAY TEAM,5700,2025-11-03 23:44:37
GOODIE GIRLS,3225,2025-11-03 23:48:45
THE FIGHTERS,4450,2025-11-03 23:52:25
THE FIGHTERS,3275,2025-11-03 23:55:59
CSK,6750,2025-11-03 23:59:27
GG1 MONSTERS,4150,2025-11-04 00:03:54
MANIC RUN CLUB,5325,2025-11-04 00:12:55
GUTS N GLORY,5200,2025-11-04 00:17:11
THE CUSPERS,11625,2025-11-04 00:21:05
SHAR WINNER,7325,2025-11-04 00:25:25
ROCKERS,5875,2025-11-04 00:29:25
PPS,5175,2025-11-04 00:40:41
MOONS,10450,2025-11-04 00:45:09
KOFATGIS,6350,2025-11-04 00:56:35
JOLY BOYS,10400,2025-11-04 01:00:52
SHABAB BUSTAN,13925,2025-11-04 01:04:36
TEAM MARVEL,10325,2025-11-04 01:10:48
TEAM BEAUTY,7050,2025-11-04 01:14:47
TEAM UAE,9375,2025-11-04 01:22:50
ISMAIL M,7950,2025-11-04 01:26:52
EL FANY,13800,2025-11-04 01:30:39
ANSARI TEAM,6700,2025-11-04 01:34:11
ROCK STAR,5900,2025-11-04 01:39:02
LEADING TEAM,5700,2025-11-04 01:42:57
TEAM,9225,2025-11-04 01:49:09
THE LIONS,9050,2025-11-04 01:52:46
TSD 10,2000,2025-11-04 14:09:18
TSD 9,5550,2025-11-04 14:22:04
TG MARKSMAN,6000,2025-11-04 14:26:41
KLASH KING,2425,2025-11-04 14:30:22
DMPF,375,2025-11-04 14:35:50
